Frame_Number,Inference_Time_sec,FPS,Total_Birds,Max_Confidence,Avg_Confidence
435,0.14742,6.78,0,0.0,0.0
436,0.15275,6.55,0,0.0,0.0
437,0.14648,6.83,0,0.0,0.0
438,0.14832,6.74,0,0.0,0.0
439,0.15699,6.37,0,0.0,0.0
440,0.14579,6.86,0,0.0,0.0
441,0.14611,6.84,0,0.0,0.0
442,0.15626,6.4,0,0.0,0.0
443,0.14743,6.78,0,0.0,0.0
444,0.14998,6.67,0,0.0,0.0
445,0.14718,6.79,0,0.0,0.0
446,0.14963,6.68,0,0.0,0.0
447,0.15133,6.61,0,0.0,0.0
448,0.15066,6.64,0,0.0,0.0
449,0.14527,6.88,0,0.0,0.0
450,0.14486,6.9,0,0.0,0.0
451,0.14532,6.88,0,0.0,0.0
452,0.14514,6.89,0,0.0,0.0
453,0.14665,6.82,0,0.0,0.0
454,0.15084,6.63,0,0.0,0.0
455,0.15201,6.58,0,0.0,0.0
456,0.14423,6.93,0,0.0,0.0
457,0.15068,6.64,0,0.0,0.0
458,0.14936,6.7,0,0.0,0.0
459,0.14699,6.8,0,0.0,0.0
460,0.1533,6.52,0,0.0,0.0
461,0.14615,6.84,0,0.0,0.0
462,0.14833,6.74,0,0.0,0.0
463,0.14768,6.77,0,0.0,0.0
464,0.15525,6.44,0,0.0,0.0
465,0.14669,6.82,0,0.0,0.0
466,0.15056,6.64,0,0.0,0.0
467,0.14785,6.76,0,0.0,0.0
468,0.15385,6.5,0,0.0,0.0
469,0.15132,6.61,0,0.0,0.0
470,0.15091,6.63,0,0.0,0.0
471,0.14954,6.69,0,0.0,0.0
472,0.14912,6.71,0,0.0,0.0
473,0.15258,6.55,0,0.0,0.0
474,0.15864,6.3,0,0.0,0.0
475,0.16002,6.25,0,0.0,0.0
476,0.15027,6.65,0,0.0,0.0
477,0.14772,6.77,0,0.0,0.0
478,0.15382,6.5,0,0.0,0.0
479,0.14717,6.79,0,0.0,0.0
480,0.14517,6.89,0,0.0,0.0
481,0.15077,6.63,0,0.0,0.0
482,0.14728,6.79,0,0.0,0.0
483,0.14606,6.85,0,0.0,0.0
484,0.15123,6.61,0,0.0,0.0
485,0.14849,6.73,0,0.0,0.0
486,0.14836,6.74,0,0.0,0.0
487,0.14802,6.76,0,0.0,0.0
488,0.14708,6.8,0,0.0,0.0
489,0.14751,6.78,0,0.0,0.0
490,0.15372,6.51,0,0.0,0.0
491,0.14629,6.84,0,0.0,0.0
492,0.14856,6.73,0,0.0,0.0
493,0.15745,6.35,0,0.0,0.0
494,0.14768,6.77,0,0.0,0.0
495,0.15999,6.25,0,0.0,0.0
496,0.14957,6.69,0,0.0,0.0
497,0.14674,6.81,0,0.0,0.0
498,0.14959,6.68,0,0.0,0.0
499,0.14944,6.69,0,0.0,0.0
500,0.15832,6.32,0,0.0,0.0
501,0.14713,6.8,0,0.0,0.0
502,0.14792,6.76,0,0.0,0.0
503,0.14772,6.77,0,0.0,0.0
504,0.14825,6.75,0,0.0,0.0
505,0.14792,6.76,0,0.0,0.0
506,0.15169,6.59,0,0.0,0.0
507,0.1461,6.84,0,0.0,0.0
508,0.15156,6.6,0,0.0,0.0
509,0.14706,6.8,0,0.0,0.0
510,0.15299,6.54,0,0.0,0.0
511,0.14912,6.71,0,0.0,0.0
512,0.15495,6.45,0,0.0,0.0
513,0.14585,6.86,0,0.0,0.0
514,0.14894,6.71,0,0.0,0.0
515,0.1465,6.83,0,0.0,0.0
