Frame_Number,Inference_Time_sec,FPS,Total_Birds,Max_Confidence,Avg_Confidence
295,0.13924,7.18,6,0.86,0.51
296,0.14015,7.13,3,0.72,0.53
297,0.13752,7.27,6,0.73,0.51
298,0.13621,7.34,5,0.61,0.45
299,0.13916,7.19,13,0.9,0.62
300,0.14001,7.14,10,0.79,0.53
301,0.13832,7.23,8,0.72,0.53
302,0.13975,7.16,14,0.9,0.61
303,0.14254,7.02,15,0.93,0.66
304,0.14359,6.96,13,0.91,0.6
305,0.13953,7.17,8,0.81,0.55
306,0.13929,7.18,11,0.86,0.62
307,0.13841,7.22,13,0.9,0.6
308,0.14317,6.98,13,0.75,0.51
309,0.14451,6.92,10,0.76,0.55
310,0.14577,6.86,17,0.93,0.58
311,0.13868,7.21,11,0.95,0.65
312,0.14113,7.09,7,0.93,0.69
313,0.14034,7.13,9,0.82,0.54
314,0.13824,7.23,6,0.75,0.57
315,0.13945,7.17,14,0.8,0.51
316,0.14015,7.14,10,0.88,0.61
317,0.13873,7.21,12,0.89,0.53
318,0.14145,7.07,6,0.84,0.46
319,0.13859,7.22,11,0.95,0.74
320,0.13709,7.29,9,0.94,0.75
321,0.13862,7.21,7,0.94,0.73
322,0.13926,7.18,9,0.87,0.65
323,0.13963,7.16,1,0.32,0.32
324,0.14011,7.14,0,0.0,0.0
325,0.14064,7.11,1,0.32,0.32
326,0.14027,7.13,1,0.37,0.37
327,0.14176,7.05,1,0.56,0.56
328,0.13966,7.16,2,0.74,0.54
329,0.13815,7.24,8,0.93,0.67
330,0.13908,7.19,4,0.92,0.75
331,0.14031,7.13,4,0.93,0.82
332,0.1436,6.96,0,0.0,0.0
333,0.13759,7.27,0,0.0,0.0
334,0.13989,7.15,0,0.0,0.0
335,0.1385,7.22,0,0.0,0.0
336,0.13757,7.27,0,0.0,0.0
337,0.13861,7.21,0,0.0,0.0
338,0.13828,7.23,10,0.96,0.57
339,0.13912,7.19,0,0.0,0.0
340,0.13787,7.25,1,0.35,0.35
341,0.14115,7.08,0,0.0,0.0
342,0.13923,7.18,0,0.0,0.0
343,0.13875,7.21,0,0.0,0.0
344,0.13808,7.24,0,0.0,0.0
345,0.1405,7.12,0,0.0,0.0
346,0.14254,7.02,0,0.0,0.0
347,0.13881,7.2,4,0.9,0.73
348,0.13869,7.21,0,0.0,0.0
349,0.1382,7.24,0,0.0,0.0
350,0.14022,7.13,0,0.0,0.0
351,0.13906,7.19,0,0.0,0.0
352,0.13787,7.25,0,0.0,0.0
353,0.1389,7.2,1,0.33,0.33
354,0.13781,7.26,0,0.0,0.0
355,0.13995,7.15,2,0.59,0.46
356,0.14022,7.13,0,0.0,0.0
357,0.13975,7.16,0,0.0,0.0
